New Name,Image Name,Image Source,Original Size (KB),New Size (KB),1/SSIM Value,Area/1000,Normalized Area,Image Value,Reduction Factor,Target Size of Image,Reduced Size of Image,Factor,Black and White,Removed
46x40.webp,46x40.png,https://ae01.alicdn.com/kf/H4408a62dbc5d4b959b9f79e99763dfffm/46x40.png,1.2099609375,0.708984375,4.758013439635349,1.84,0.0040024362655529,4.762015875900902,-,0.708984375,,,,
40x40.webp,40x40.png,https://ae01.alicdn.com/kf/H4dc217e215a4435498a90986af087eb63/40x40.png,0.27734375,0.21875,8.822183617962882,1.6,0.0034803793613503,8.825663997324233,-,0.21875,,,,
Sefd578e6b4ff48b091ba005fd67acce7p.jpg_200x200Q75.jpg_.webp,Sefd578e6b4ff48b091ba005fd67acce7p.jpg_200x200Q75.jpg_.webp,https://ae01.alicdn.com/kf/Sefd578e6b4ff48b091ba005fd67acce7p.jpg_200x200Q75.jpg_.webp,13.5361328125,13.5361328125,1.0215984516131051,40.0,0.0870094840337596,1.1086079356468648,0.04480458537067068,6.453074917683114,6.25390625,100.0,False,False
Hbb0e7e47870e4c5a91eb08ee28c5af06L.webp,Hbb0e7e47870e4c5a91eb08ee28c5af06L.png_.webp,https://ae01.alicdn.com/kf/Hbb0e7e47870e4c5a91eb08ee28c5af06L.png_.webp,16.7138671875,10.955078125,1.0867013470184943,22.5,0.0489428347689898,1.135644181787484,0.045897260029907204,6.610449690340264,4.751953125,100.0,False,False
H69cab9ecda2a4333a07cd3b37b90b6e4b.webp,H69cab9ecda2a4333a07cd3b37b90b6e4b.png_.webp,https://ae01.alicdn.com/kf/H69cab9ecda2a4333a07cd3b37b90b6e4b.png_.webp,21.138671875,12.390625,1.1125469618853328,40.0,0.0870094840337596,1.1995564459190924,0.0484802854642747,6.982475377094318,6.359375,100.0,False,False
750x116.webp,750x116.png_640x640.png_.webp,https://ae01.alicdn.com/kf/H2aa7f7e5e40b4aa98bb420e9d0b3fb8fg/750x116.png_640x640.png_.webp,0.11328125,0.037109375,1.0005297502900292,63.36,0.1378230227094753,1.1383527729995049,-,0.037109375,,,,
H0252dfc6811a4176a03513f8836d6aeeA.webp,H0252dfc6811a4176a03513f8836d6aeeA.png,https://ae01.alicdn.com/kf/H0252dfc6811a4176a03513f8836d6aeeA.png,0.5390625,0.2734375,1.5886976472955423,2.304,0.0050117462803445,1.593709393575887,-,0.2734375,,,,
H5ee16b5fe1684138a570925b9520cfe5L.webp,H5ee16b5fe1684138a570925b9520cfe5L.png_.webp,https://ae01.alicdn.com/kf/H5ee16b5fe1684138a570925b9520cfe5L.png_.webp,24.65234375,15.30078125,1.1237652921238002,40.0,0.0870094840337596,1.2107747761575598,0.04893367626071755,7.04777594292321,7.001953125,100.0,False,False
He0eea390b0744db8bd48cdee18853b03s.webp,He0eea390b0744db8bd48cdee18853b03s.png_.webp,https://ae01.alicdn.com/kf/He0eea390b0744db8bd48cdee18853b03s.png_.webp,30.9736328125,19.60546875,1.1122913044852685,40.0,0.0870094840337596,1.199300788519028,0.04846995302533168,6.980987225780561,2.01171875,100.0,True,False
Hef0110f553ec4cffabbf2456a4e4823cb.jpg_200x200Q75.jpg_.webp,Hef0110f553ec4cffabbf2456a4e4823cb.jpg_200x200Q75.jpg_.webp,https://ae01.alicdn.com/kf/Hef0110f553ec4cffabbf2456a4e4823cb.jpg_200x200Q75.jpg_.webp,13.5546875,13.5546875,1.066914935608389,40.0,0.0870094840337596,1.1539244196421483,0.04663605906897196,6.716856780345788,4.259765625,100.0,True,False
Ha539007484b34b98ac559e41f5c17b400.webp,Ha539007484b34b98ac559e41f5c17b400.png_.webp,https://ae01.alicdn.com/kf/Ha539007484b34b98ac559e41f5c17b400.png_.webp,20.90234375,12.8359375,1.1508284704267742,40.0,0.0870094840337596,1.2378379544605338,0.05002743938804873,7.205307484493681,6.30078125,100.0,False,False
H8b09d4327ee84564ba4a52738c2293a7R.webp,H8b09d4327ee84564ba4a52738c2293a7R.png_.webp,https://ae01.alicdn.com/kf/H8b09d4327ee84564ba4a52738c2293a7R.png_.webp,20.1982421875,11.861328125,1.1327122304879054,40.0,0.0870094840337596,1.219721714521665,0.04929526835369384,7.099855006847442,5.81640625,100.0,False,False
398x92.webp,398x92.png,https://ae01.alicdn.com/kf/S46f745032e6e4f3da94f1a3df564f238K/398x92.png,2.9091796875,2.65625,2.301728322122664,36.616,0.0796484816845036,2.3813768038071674,-,2.65625,,,,
H224892f45a6d45b0a538144a56834c29d.jpg_120x120Q90.jpg_.webp,H224892f45a6d45b0a538144a56834c29d.jpg_120x120Q90.jpg_.webp,https://ae04.alicdn.com/kf/H224892f45a6d45b0a538144a56834c29d.jpg_120x120Q90.jpg_.webp,5.5361328125,5.5361328125,1.024976326314339,14.4,0.0313234142521534,1.0562997405664925,0.04269054043494078,6.148595136501078,5.5361328125,100.0,False,False
H576cf6b8be5940c5b75427ada472dd42J.webp,H576cf6b8be5940c5b75427ada472dd42J.png_.webp,https://ae01.alicdn.com/kf/H576cf6b8be5940c5b75427ada472dd42J.png_.webp,20.8955078125,14.583984375,1.1230019610607678,22.5,0.0489428347689898,1.1719447958297575,0.04736435575290128,6.821751246499527,6.111328125,100.0,False,False
